code,freq
I25.103,4968
J98.414,3900
C50.900,3741
C34.90A,3141
Z51.102,3024
E11.900,2084
C22.900,1636
C11.900,1531
I10.x0H,1382
C18.900,1357
N18.001,1349
C20.x00,1207
O34.201,1167
C16.900,1148
O47.100,1121
A41.901,1090
N63.x00,1083
K63.500,1059
H25.900,1015
O42.900,950
K65.000,949
Z34.900,939
E11.401+,847
I24.901,842
D25.900,840
K40.901,791
Z51.805,788
R10.402,753
P07.30A,731
I64.x00,704
R93.203,697
K92.208,680
K92.210,644
M06.900,622
J44.100,557
R50.900,514
K74.607,498
K85.900,409
I61.900,376
J18.900,353
I10.x05,330
O60.200,239
J18.000,215
O47.900,205
K35.900,198
Z35.900,135
H81.901,135
K92.207,110
